Ценовая группа 1 (подоконники в распил в размер исходя из стоимости 8100 руб за кв метр);;;;;;;;;;;
Цвета (входят в группу);;;;;;;;;;;
белый глянцевый;;(арт. 011);белый матовый;;(арт. 001);белый сатин;;(арт. 120);;;
;;;;;;;;;;;
;;;;;;;;;;;
Тип цены;100 мм;150 мм;200 мм;250 мм;300 мм;350 мм;400 мм;450 мм;500 мм;550 мм;600 мм
"Дилерская цена
(руб/1 пог. м)"; 810 ₽;1 215 ₽;1 620 ₽;2 025 ₽;2 430 ₽;2 835 ₽;3 240 ₽;3 645 ₽;4 050 ₽;4 860 ₽;4 860 ₽
"РРЦ
(руб/1 пог. м)";1 130 ₽;1 695 ₽;2 260 ₽;2 825 ₽;3 390 ₽;3 955 ₽;4 520 ₽;5 085 ₽;5 650 ₽;6 780 ₽;6 780 ₽
Ценовая группа 2 (подоконники в распил в размер исходя из стоимости 8500 руб за кв метр);;;;;;;;;;;
Цвета (входят в группу);;;;;;;;;;;
антрацит матовый;;(арт. 125);бетон матовый;;(арт. 138);белый дуб глянцевый;;(арт. 122);белый дуб матовый;;(арт. 123)
бристол глянцевый;;(арт. 019);мрамор глянцевый;;(арт. 012);мрамор матовый;;(арт. 002);палермо глянцевый;;(арт. 027)
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Тип цены;100 мм;150 мм;200 мм;250 мм;300 мм;350 мм;400 мм;450 мм;500 мм;550 мм;600 мм
"Дилерская цена
(руб/1 пог. м)"; 850 ₽;1 275 ₽;1 700 ₽;2 125 ₽;2 550 ₽;2 975 ₽;3 400 ₽;3 825 ₽;4 250 ₽;5 100 ₽;5 100 ₽
"РРЦ
(руб/1 пог. м)";1 190 ₽;1 785 ₽;2 380 ₽;2 975 ₽;3 570 ₽;4 165 ₽;4 760 ₽;5 355 ₽;5 950 ₽;7 140 ₽;7 140 ₽
Ценовая группа 3 (подоконники в распил в размер исходя из стоимости 8650 руб за кв метр);;;;;;;;;;;
Цвета (входят в группу);;;;;;;;;;;
альпийский шифер светлый матовый;;(арт. 137);венге глянцевый;;(арт. 025);венге матовый;;(арт. 005);глория глянцевый;(арт. 119);MAX 500 мм
золотой дуб глянцевый;;(арт. 013);золотой дуб матовый;;(арт. 003);натуральный дуб глянцевый;;(арт. 016);натуральный дуб матовый;;(арт. 006)
орех глянцевый;;(арт. 118);орех матовый;;(арт. 117);;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Тип цены;100 мм;150 мм;200 мм;250 мм;300 мм;350 мм;400 мм;450 мм;500 мм;550 мм;600 мм
"Дилерская цена
(руб/1 пог. м)";1 730 ₽;1 730 ₽;1 730 ₽;2 163 ₽;2 595 ₽;3 028 ₽;3 460 ₽;3 893 ₽;4 325 ₽;5 190 ₽;5 190 ₽
"РРЦ
(руб/1 пог. м)";2 420 ₽;2 420 ₽;2 420 ₽;3 025 ₽;3 630 ₽;4 235 ₽;4 840 ₽;5 445 ₽;6 050 ₽;7 260 ₽;7 260 ₽
;;;;;;;;;;;
Комплектующие (цена за шт.);;;;;;;;;;;
Наименование;;;;;;;;;Дилер;РРЦ;Ед.
Заглушка торцевая 700 мм с двумя капиносами;;;;;;;;;210 ₽;263 ₽;шт.
Заглушка соединительная 700 мм, внутренний угол 90°/135°;;;;;;;;;286 ₽;358 ₽;шт.
Заглушка соединительная 700 мм, внутренний угол 150°/180°;;;;;;;;;286 ₽;358 ₽;шт.
Примечания:;;;;;;;;;;;
1) Цвет подоконников — наличие согласовывать с менеджером компании перед продажей заказчику!!!;;;;;;;;;;;
2) Максимальный фактический размер подоконника 487 мм и 587 мм. В прайсе указаны цены на условные позиции 500 мм и 600 мм соответственно;;;;;;;;;;;
3) В ценовой группе 3 ширины 100 и 150 мм рассчитываются по цене 200 мм. Ширина 550 мм рассчитывается по цене 600 мм.;;;;;;;;;;;
Условия сотрудничества:;;;;;;;;;;;
• Бесплатная доставка по Краснодару в течение 4 рабочих дней с момента оплаты.;;;;;;;;;;;
• При приобретении подоконников в целых полосах скидка 10 %;;;;;;;;;;;
• Подоконники в целых полосах доступны только путем самовывоза со склада. (Адрес склада: Краснодарский край, г. Краснодар, п.Агроном, ул.Светлая, 1Б/1);;;;;;;;;;;
• Исполнение заказа 1 рабочий день с момента оплаты (самовывоз).;;;;;;;;;;;
• Запуск заявки в работу по 100% предоплате (наличный/безналичный расчет).;;;;;;;;;;;
