Ценовая группа 1 (подоконники в распил в размер исходя из стоимости 6200 руб за кв метр);;;;;;;;;;;
Цвета (входят в группу);;;;;;;;;;;
WHITE, белый;(арт. 300);;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Тип цены;100 мм;150 мм;200 мм;250 мм;300 мм;350 мм;400 мм;450 мм;;;
"Дилерская цена
(руб/1 пог. м)";1 240 ₽;1 240 ₽;1 240 ₽;1 550 ₽;1 860 ₽;2 170 ₽;2 790 ₽;2 790 ₽;;;
"РРЦ
(руб/1 пог. м)";1 460 ₽;1 460 ₽;1 460 ₽;1 825 ₽;2 190 ₽;2 555 ₽;3 285 ₽;3 285 ₽;;;
Ценовая группа 2 (подоконники в распил в размер исходя из стоимости 6900 руб за кв метр);;;;;;;;;;;
Цвета (входят в группу);;;;;;;;;;;
LIGHT GREY (светло-серый);;(арт. 302);GREY (серый);;(арт. 303);ANTHRACITE (антрацитово-серый);;(арт. 304);;;
BLACK (черный);;(арт. 305);NORDIC BLUE (скандинавский синий);;(арт. 301);МОККО;;(арт. 306);;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Тип цены;100 мм;150 мм;200 мм;250 мм;300 мм;350 мм;400 мм;450 мм;;;
"Дилерская цена
(руб/1 пог. м)";1 380 ₽;1 380 ₽;1 380 ₽;1 725 ₽;2 070 ₽;2 415 ₽;3 105 ₽;3 105 ₽;;;
"РРЦ
(руб/1 пог. м)";1 640 ₽;1 640 ₽;1 640 ₽;2 050 ₽;2 460 ₽;2 870 ₽;3 690 ₽;3 690 ₽;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Комплектующие (цена за шт.);;;;;;;;;;;
Наименование;;;;;;;;;Дилер;РРЦ;Ед.
Заглушка 600 мм с двумя капиносами — белая;;;;;;;;;300 ₽;375 ₽;шт.
Заглушка 600 мм с двумя капиносами — остальные цвета;;;;;;;;;330 ₽;413 ₽;шт.
Торцевой соединитель универсальный, 600 мм — белый;;;;;;;;;475 ₽;594 ₽;шт.
Торцевой соединитель универсальный, 600 мм — остальные цвета;;;;;;;;;500 ₽;625 ₽;шт.
Примечания:;;;;;;;;;;;
1) Цвет подоконников — наличие согласовывать с менеджером компании перед продажей заказчику!!!;;;;;;;;;;;
2) Максимальная фактическая глубина подоконника для позиций 450 мм в однокапиносном варианте составляет 435 мм.;;;;;;;;;;;
3) Ширины 100 и 150 мм рассчитываются по цене 200 мм. Ширина 400 мм — по цене 450 мм.;;;;;;;;;;;
Условия сотрудничества:;;;;;;;;;;;
• Бесплатная доставка по Краснодару в течение 4 рабочих дней с момента оплаты.;;;;;;;;;;;
• При приобретении подоконников в целых полосах скидка 10 %;;;;;;;;;;;
• Подоконники в целых полосах доступны только путем самовывоза со склада. (Адрес склада: Краснодарский край, г. Краснодар, п.Агроном, ул.Светлая, 1Б/1);;;;;;;;;;;
• Исполнение заказа 1 рабочий день с момента оплаты (самовывоз).;;;;;;;;;;;
• Запуск заявки в работу по 100% предоплате (наличный/безналичный расчет).;;;;;;;;;;;
