Стеклопакет 24мм (4/16/4 )                                                                                                               20000руб;;;;;;;;;2000 руб;
Стеклопакет 32мм (4/24/4)                                                                                                                2100 руб;;;;;;;;;;
Стеклопакет 24мм-26мм (6/14/4)                                                                                                   2500 руб   ;;;;;;;;;;
Стеклопакет 24мм-26мм (6/12/6)                                                                                                   3000 руб  ;;;;;;;;;;
Стеклопакет 24мм (4/16/4 энерго)                                                                                                  2300 руб                             ;;;;;;;;;;
Стеклопакет 32мм (4/10/4/10/4)  двухкамерный                                                                         2500 руб  ;;;;;;;;;;
Стеклопакет  24мм (4/16/4 Бронза евро )                                                                                      2900 руб;;;;;;;;;;
 Стеклопакет Н32мм (4мм/10/4/10/4ммSolar)                                                                               3000 руб;;;;;;;;;;
Стеклопакет Н32мм (6мм Solar/22/4мм)                                                                                       3000 руб                                                                                    ;;;;;;;;;;
Стеклопакет с одним тонированным в массе стеклом                           ;;;;;;;;;;
Ст/пакет 24мм(4/16/4) SOLAR                                                                                                        2400 руб;;;;;;;;;;
С/пакет 24мм (4/16/4мм  Сатинат, Кризет б/цв ,Диамант б/цв                                                2800 руб                                Ст/пакет 24мм(4/16/4) SOLAR Light Bronze , Silver  ,Blue  , Sky Grey                                 3000 руб          ;;;;;;;;;;
«Защитная пленка класс «1-А»                                                                                                    +1450 руб;;;;;;;;;;
«Защитная пленка класс «2-А»                                                                                                    +2200 руб;;;;;;;;;;
«Защитная пленка класс «3-А»                                                                                                    +3000 руб;;;;;;;;;;
Солнцезащитные пленки                                                                                                               +1450 руб ;;;;;;;;;;
Стеклопакеты с внутренней декоративной раскладкой;;;;;;;;;;
Декоративная раскладка 8мм цвет белый                                                                             450 руб/пог;;;;;;;;;;
Декоративная раскладка 10 мм цвет золотой                                                                        450 руб/пог;;;;;;;;;;
Декоративная раскладка 18мм цвет белый                                                                           450 руб/пог;;;;;;;;;;
Декоративная раскладка1 8мм цвет коричневый                                                               450  руб/пог;;;;;;;;;;
Крестовое соединение для дек. раскладки   8-18ММ                                                           400  руб/шт;;;;;;;;;;
Торцевое соединение                                                                                                                   70 руб;;;;;;;;;;
0 руб/шт;;;;;;;;;;
Увеличение стоимости стеклопакета;;;;;;;;;;
Изготовление стеклопакета площадью менее 0,35кв.м                                      считать как 0,35кв.м Изготовление стеклопакета неправильной формы ( треугольник ,трапеция)                         +25%;;;;;;;;;;
Изготовление стеклопакета неправильной формы (арка,круг)                                                + 50%;;;;;;;;;;
Изготовление стеклопакета по шаблону                                                                                         +50%;;;;;;;;;;
Изготовление стеклопакета площадью более 3кв.м                                                                     +25%;;;;;;;;;;
;;;;;   ;;;;;
Резка стекла 4мм                                                                                                                             900 руб /к;;;;;;;;;;
Резка стекла 6мм                                                                                                                         1500 руб /кв.м          ;;;;;;;;;;
Резка армировки 6мм                                                                                                                 6000 руб/кв 2;;;;;;;;;;
Минимальные размеры стеклопакетов                                                                              200мм*200мм;;;;;;;;;;
 Услуги по доставке изделий заказчику оговариваются при подписании договора;;;;;;;;;;
